TrackerID,Marketplace,Country,CheckpointStatus,Document,Decision,EvidenceStatus
1,Subito.it,Italia,COMPLETATA,001_SUBITO_IT_PAA_v1.0.md,NO-GO scraping; GO authorized/API only,RECOVERED
2,Bakeca.it,Italia,COMPLETATA,002_BAKECA_IT_PAA_v1.0.md,GO CONDIZIONATO,RECOVERED
3,Kijiji.it,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
4,Secondamano.it,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
5,AnnunciPrivati.com,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
6,Immobiliare.it,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
7,Casa.it,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
8,Idealista.it,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
9,eBay.it,Italia,GAP,,,RECOVER_OR_RECONSTRUCT
10,Catawiki.com,Italia,COMPLETATA,010_CATAWIKI_COM_PAA_v1.0.md,GO CONDIZIONATO,RECOVERED
11,Leboncoin.fr,Francia,COMPLETATA,011_LEBONCOIN_FR_PAA_v1.0.md,GO CONDIZIONATO — permissioned only,RECOVERED
12,Vivastreet.fr,Francia,COMPLETATA,013_VIVASTREET_FR_PAA_v1.0.md,GO CONDIZIONATO — permissioned only,RECOVERED
13,ParuVendu.fr,Francia,COMPLETATA,014_PARUVENDU_FR_PAA_v1.0.md,GO CONDIZIONATO,RECOVERED
14,Topannonces.fr,Francia,COMPLETATA,015_TOPANNONCES_FR_PAA_v1.0.md,GO CONDIZIONATO — family adapter,RECOVERED
15,Economique.fr,Francia,ARCHIVIATA,016_ECONOMIQUE_FR_PAA_v1.0.md,NO-GO — historical,RECOVERED
16,Locanto.fr,Francia,RICERCA_COMPLETATA,KR_017_LOCANTO_FR.md,GO CONDIZIONATO — provider family,RECOVERED
17,eBay.fr,Francia,RICERCA_COMPLETATA,KR_018_EBAY_FR.md,GO — shared API core,RECOVERED
18,Milanuncios.com,Spagna,RICERCA_COMPLETATA,KR_019_MILANUNCIOS_COM.md,GO CONDIZIONATO,RECOVERED
19,Wallapop,Spagna,RICERCA_COMPLETATA,KR_020_WALLAPOP.md,GO CONDIZIONATO,RECOVERED
20,Trovit.es,Spagna,RICERCA_COMPLETATA,KR_021_TROVIT_ES.md,GO STRATEGICO,RECOVERED
21,Mitula,Spagna,RICERCA_COMPLETATA,,GO STRATEGICO — family-level,NEEDS_STANDALONE_DOSSIER
22,Anuto,Spagna,RICERCA_COMPLETATA,022_ANUTO_ES_PAA_v1.0.md,GO STRATEGICO LIMITATO / NO-GO unauthorized automation,RECOVERED
