tracker_id,country,marketplace,category,atlas_v1_status,evidence_note
1,Italia,Subito.it,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
2,Italia,Bakeca.it,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
3,Italia,Kijiji.it,Annunci generalisti,RESOLVED_HISTORICAL,Gap Repair; closed/discontinued
4,Italia,Secondamano.it,Annunci generalisti,RECONSTRUCTED_COMPLETE,Controlled Gap Repair reconstruction
5,Italia,AnnunciPrivati.com,Annunci generalisti,RECONSTRUCTED_COMPLETE,Controlled Gap Repair reconstruction
6,Italia,Immobiliare.it,Immobiliare,RECONSTRUCTED_COMPLETE,Controlled Gap Repair reconstruction
7,Italia,Casa.it,Immobiliare,RECONSTRUCTED_COMPLETE,Controlled Gap Repair reconstruction
8,Italia,Idealista.it,Immobiliare,RECONSTRUCTED_COMPLETE,Controlled Gap Repair reconstruction
9,Italia,eBay.it,Aste / marketplace,RECONSTRUCTED_COMPLETE,Controlled Gap Repair reconstruction
10,Italia,Catawiki.com,Aste specializzate,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
11,Francia,Leboncoin.fr,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
12,Francia,Vivastreet.fr,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
13,Francia,ParuVendu.fr,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
14,Francia,Topannonces.fr,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
15,Francia,Economique.fr,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
16,Francia,Locanto.fr,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
17,Francia,eBay.fr,Aste / marketplace,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
18,Spagna,Milanuncios.com,Annunci generalisti,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
19,Spagna,Wallapop,Annunci generalisti / app,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
20,Spagna,Trovit.es,Motore / aggregatore,EVIDENCED_COMPLETE,Existing Atlas checkpoint / archived research
