surface_id,tracker_id,marketplace,country,provider_family,access_state,lifecycle,source_reference
ATLAS-SURFACE-001,1,Subito.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-002,2,Bakeca.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-003,3,Kijiji.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-004,4,Secondamano.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-005,5,AnnunciPrivati.com,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-006,6,Immobiliare.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-007,7,Casa.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-008,8,Idealista.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-009,9,eBay.it,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-010,10,Catawiki.com,Italia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-011,11,Leboncoin.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
